date,freq,variable,value
1942-08-01,m,BBFW,37.0
1942-08-01,m,BLUU,129.0
1942-09-01,m,BBFW,55.0
1942-09-01,m,BLUU,137.0
1942-10-01,m,BBFW,334.0
1942-10-01,m,BLUU,118.0
1942-11-01,m,BBFW,97.0
1942-11-01,m,BLUU,151.0
1942-12-01,m,BBFW,90.0
1942-12-01,m,BLUU,114.0
1943-01-01,a,BBFW,1808.0
1943-01-01,m,BBFW,45.0
1943-01-01,m,BLUU,110.0
1943-02-01,m,BBFW,42.0
1943-02-01,m,BLUU,110.0
1943-03-01,m,BBFW,123.0
1943-03-01,m,BLUU,180.0
1943-04-01,m,BBFW,73.0
1943-04-01,m,BLUU,158.0
1943-05-01,m,BBFW,185.0
1943-05-01,m,BLUU,172.0
1943-06-01,m,BBFW,116.0
1943-06-01,m,BLUU,159.0
1943-07-01,m,BBFW,98.0
1943-07-01,m,BLUU,127.0
1943-08-01,m,BBFW,142.0
1943-08-01,m,BLUU,153.0
1943-09-01,m,BBFW,329.0
1943-09-01,m,BLUU,210.0
1943-10-01,m,BBFW,160.0
1943-10-01,m,BLUU,177.0
1943-11-01,m,BBFW,363.0
1943-11-01,m,BLUU,212.0
1943-12-01,m,BBFW,131.0
1943-12-01,m,BLUU,153.0
1944-01-01,a,BBFW,3714.0
1944-01-01,m,BBFW,236.0
1944-01-01,m,BLUU,230.0
1944-02-01,m,BBFW,273.0
1944-02-01,m,BLUU,250.0
1944-03-01,m,BBFW,1601.0
1944-03-01,m,BLUU,333.0
1944-04-01,m,BBFW,718.0
1944-04-01,m,BLUU,188.0
1944-05-01,m,BBFW,46.0
1944-05-01,m,BLUU,162.0
1944-06-01,m,BBFW,42.0
1944-06-01,m,BLUU,127.0
1944-07-01,m,BBFW,64.0
1944-07-01,m,BLUU,77.0
1944-08-01,m,BBFW,124.0
1944-08-01,m,BLUU,186.0
1944-09-01,m,BBFW,188.0
1944-09-01,m,BLUU,208.0
1944-10-01,m,BBFW,232.0
1944-10-01,m,BLUU,237.0
1944-11-01,m,BBFW,125.0
1944-11-01,m,BLUU,216.0
1944-12-01,m,BBFW,65.0
1944-12-01,m,BLUU,160.0
1945-01-01,a,BBFW,2835.0
1945-01-01,m,BBFW,104.0
1945-01-01,m,BLUU,180.0
1945-02-01,m,BBFW,60.0
1945-02-01,m,BLUU,172.0
1945-03-01,m,BBFW,402.0
1945-03-01,m,BLUU,202.0
1945-04-01,m,BBFW,98.0
1945-04-01,m,BLUU,228.0
1945-05-01,m,BBFW,130.0
1945-05-01,m,BLUU,196.0
1945-06-01,m,BBFW,202.0
1945-06-01,m,BLUU,222.0
