LOCATION,INDICATOR,SUBJECT,Subject,MEASURE,FREQUENCY,TIME_PERIOD,OBS_VALUE
LUX,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,7.1424961
LUX,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,6.9940128
LUX,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,7.2879424
LVA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,24.550453
LVA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,20.921566
LVA,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,22.762682
MEX,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,36.525806
MEX,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,23.702183
MEX,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,10.275764
NLD,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,7.585247
NLD,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,6.7656198
NLD,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,5.9589043
NOR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,8.3079596
NOR,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,8.4465199
NOR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,8.5785332
NZL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,11.313001
NZL,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,15.281414
NZL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,19.317932
OAVG,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,18.359138
OAVG,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,14.225021
OAVG,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,16.28538
POL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,12.537897
POL,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,15.0195
POL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,17.632521
PRT,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,14.761759
PRT,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,13.465281
PRT,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,12.212148
SVK,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,21.799061
SVK,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,15.972342
SVK,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,18.822512
SVN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,8.2686615
SVN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,9.2911873
SVN,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,8.7568846
SWE,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,10.270392
SWE,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,10.020204
SWE,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,10.50827
TUR,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,21.285
TUR,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,36.625298
TUR,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,52.057037
USA,NEET,15_29,15-29 year-olds,PC_AGE,A,2010,15.606447
USA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2010,15.52262
USA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2010,15.68889
AUS,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,8.5435381
AUS,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,14.583069
AUS,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,11.516515
AUT,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,9.0401287
AUT,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,11.47435
AUT,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,10.265295
BEL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,13.893257
BEL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,14.770977
BEL,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.02842
BRA,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,12.683304
BRA,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,25.62607
BRA,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,19.349049
CAN,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,13.359964
CAN,NEET,15_29_MEN,15-29 year-old men,PC_AGE,A,2011,13.171018
CAN,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,13.552238
CHL,NEET,15_29_WOMEN,15-29 year-old women,PC_AGE,A,2011,29.471609
CHL,NEET,15_29,15-29 year-olds,PC_AGE,A,2011,21.754675
